,Track name,artists,genre
14394,Alineando Cabrones - En Vivo,Hermanos Vega Jr.,Today
669,Panic - 2011 Remaster,The Smiths,Alt. Rock
939,Blue Guitar,Earl Hooker,Blues
8012,Rise,Herb Alpert,Pop
6671,Beautiful Life,Ace of Base,Pop
64,Beetlebum,Blur,Alt. Rock
279,The World At Large,Modest Mouse,Alt. Rock
9469,All This Time,Sting,Pop
7707,We’ll Never Have To Say Goodbye Again,England Dan & John Ford Coley,Pop
1752,Between This Time And The Next Time,Gene Watson,Country
13365,Knock It Off,Foghat,Rock
4063,Ella's Song,Sweet Honey In The Rock,Folk
185,When I Grow Up,Garbage,Alt. Rock
14889,Fire in Me Wire,Calypso Rose,World
13406,Running Free,Iron Maiden,Rock
5749,The Way of Vikings,Amon Amarth,metalcore
1331,Little Sister,Ry Cooder,Blues
6550,Stay Hungry,Twisted Sister,metalcore
214,Ocean Size,Jane's Addiction,Alt. Rock
4613,I'm Still Here,Albertina Walker,Gospel
1815,"Cold,Cold Heart",Hank Williams,Country
11610,Family Affair - Single Version,Sly & The Family Stone,R&B
2265,Liza Jane,Vince Gill,Country
3474,Mirror,Porter Robinson,EDM
2011,A Satisfied Mind,Porter Wagoner,Country
9218,I Want To Be Your Man,Roger Troutman,Pop
2477,Sunset People,Donna Summer,Disco
4673,Medley: God Is Good All The Time - Live,Don Moen,Gospel
4258,Munchies for Your Love,Bootsy Collins,Funk
1833,Second Fiddle (To An Old Guitar),Jean Shepard,Country
9659,Rhythm Of The Rain,The Cascades,Pop
10352,Punk Rock Song,Bad Religion,Punk
15054,La Primavera,Manu Chao,World
11378,I Waited Too Long,LaVern Baker,R&B
1093,All Night Long,Junior Kimbrough,Blues
13693,The Window,Steve Miller Band,Rock
898,Bukka Jitterburg Swing,Bukka White,Blues
13117,In Memory,Black Sabbath,Rock
9091,Get Ready,Rare Earth,Pop
11484,Candy Girl,New Edition,R&B
8979,Always On My Mind,Pet Shop Boys,Pop
12412,PASS OUT (feat. 21 Savage),Quavo,Rap
11204,Brown Sugar,D'Angelo,R&B
6797,Mr. Wendal,Arrested Development,Pop
4646,Believe For It,CeCe Winans,Gospel
4971,The Single Petal Of A Rose,Ben Webster,Jazz
2672,Born to Be Alive - The Original,Patrick Hernandez,Disco
11321,By The Time I Get To Phoenix,Isaac Hayes,R&B
4961,Sweet Sue (Just You) - Live,Artie Shaw,Jazz
11472,Just Fine,Mary J. Blige,R&B
11043,The Day the World Turned Day-Glo,X-Ray Spex,Punk
14765,I Hate U,SZA,Today
3233,Starlight,Flux Pavilion,EDM
653,Can't Hardly Wait - 2008 Remaster,The Replacements,Alt. Rock
14615,Beez In The Trap,Nicki Minaj,Today
9843,Down,THE LAZY RIVER,Pop
