,Track name,artists,genre
5917,Down with the Sickness,Disturbed,metalcore
5746,War of the Gods,Amon Amarth,metalcore
5825,Cities On Flame with Rock and Roll,Blue Oyster Cult,metalcore
6572,Why Can't This Be Love,Van Halen,metalcore
6433,Monkey Business,Skid Row,metalcore
6402,Big City Nights,Scorpions,metalcore
5855,I Cum Blood,Cannibal Corpse,metalcore
6287,In Union We Stand,Overkill,metalcore
6162,Gods of War,Manowar,metalcore
6028,Born in Winter,Gojira,metalcore
6304,Bark at the Moon,Ozzy Osbourne,metalcore
5860,Scourge of Iron,Cannibal Corpse,metalcore
6145,Davidian,Machine Head,metalcore
6323,Silent Lucidity,Queensryche,metalcore
6443,Vermilion,Slipknot,metalcore
6309,Cowboys from Hell,Pantera,metalcore
5779,A Little Piece of Heaven,Avenged Sevenfold,metalcore
6108,Abigail,King Diamond,metalcore
6452,Made of Scars,Stone Sour,metalcore
6247,Killed by Death,Motörhead,metalcore
5878,Lake Bodom,Children Of Bodom,metalcore
5756,Antisocial,Anthrax,metalcore
5980,Ashes to Ashes - 2016 Remaster,Faith No More,metalcore
6226,Last Caress - C.I. Recording 1978,Misfits,metalcore
5997,Coming Down,Five Finger Death Punch,metalcore
5724,Welcome to My Nightmare,Alice Cooper,metalcore
5808,Paranoid - 2012 - Remaster,Black Sabbath,metalcore
5925,Inside the Fire,Disturbed,metalcore
6401,No One Like You,Scorpions,metalcore
5968,The Toxic Waltz,Exodus,metalcore
6016,Moon Baby,Godsmack,metalcore
5915,Egypt (The Chains Are On),Dio,metalcore
5936,Black Fire - 2010 Remastered Edition,DragonForce,metalcore
5773,Nemesis,Arch Enemy,metalcore
6234,Looks That Kill,Motley Crue,metalcore
6010,Rats,Ghost,metalcore
5955,Bodies,Drowning Pool,metalcore
6103,Take This Oath,Killswitch Engage,metalcore
5938,Fury Of The Storm,DragonForce,metalcore
6429,Wasted Time,Skid Row,metalcore
5824,Twilight of the Gods,Blind Guardian,metalcore
5791,Bartzabel,Behemoth,metalcore
5852,A Skull Full of Maggots,Cannibal Corpse,metalcore
5939,Operation Ground and Pound,DragonForce,metalcore
6480,Toxicity,System Of A Down,metalcore
5754,I Am The Law,Anthrax,metalcore
5856,The Bleeding,Cannibal Corpse,metalcore
5780,Afterlife,Avenged Sevenfold,metalcore
6166,Disposable Teens,Marilyn Manson,metalcore
6616,Rising Force,Yngwie Malmsteen,metalcore
6190,A Dangerous Meeting,Mercyful Fate,metalcore
6255,Happy?,Mudvayne,metalcore
6141,Set To Fail,Lamb of God,metalcore
5902,Animal,Def Leppard,metalcore
6471,Trip at the Brain,Suicidal Tendencies,metalcore
5912,Straight Through the Heart,Dio,metalcore
5962,37 Stitches,Drowning Pool,metalcore
5891,Highway Star,Deep Purple,metalcore
5811,Children of the Grave,Black Sabbath,metalcore
6140,Ruin,Lamb of God,metalcore
6245,Ace of Spades,Motörhead,metalcore
6254,Forget to Remember - From Saw II - Original Soundtrack,Mudvayne,metalcore
5987,Zero Signal,Fear Factory,metalcore
6581,Still Counting,Volbeat,metalcore
6022,Ocean Planet,Gojira,metalcore
6457,Plush,Stone Temple Pilots,metalcore
6344,I Surrender,Rainbow,metalcore
6497,The New Order,Testament,metalcore
6500,Souls of Black,Testament,metalcore
6031,"Knockin' On Heaven's Door - Live At The Marquee Club,London / 1987",Guns N' Roses,metalcore
5990,Resurrection,Fear Factory,metalcore
6230,Astro Zombies,Misfits,metalcore
6223,Sad But True,Metallica,metalcore
6292,Elimination,Overkill,metalcore
6078,Flight of Icarus (2015 Remaster),Iron Maiden,metalcore
6110,Welcome Home,King Diamond,metalcore
5977,Evidence - 2016 Remaster,Faith No More,metalcore
6503,More Than Meets the Eye,Testament,metalcore
6205,Clockworks,Meshuggah,metalcore
6450,sillyworld,Stone Sour,metalcore
5926,The Sound of Silence,Disturbed,metalcore
5728,No More Mr. Nice Guy - Live in Columbus,Alice Cooper,metalcore
5730,Man in the Box,Alice In Chains,metalcore
5733,Rooster (2022 Remaster),Alice In Chains,metalcore
6030,Backbone,Gojira,metalcore
6252,Determined,Mudvayne,metalcore
6111,The Family Ghost,King Diamond,metalcore
5943,Cry Thunder,DragonForce,metalcore
6018,Whatever,Godsmack,metalcore
6325,Best I Can,Queensryche,metalcore
6490,What You Give,Tesla,metalcore
5786,Chant for Ezkaton 2000 E. V.,Behemoth,metalcore
6284,In Mist She Was Standing,Opeth,metalcore
5783,Dear God,Avenged Sevenfold,metalcore
5861,Into the Crypts of Rays,Celtic Frost,metalcore
5805,Iron Man,Black Sabbath,metalcore
5889,Black Night,Deep Purple,metalcore
6476,Chop Suey!,System Of A Down,metalcore
5895,Burn - 2004 Remix,Deep Purple,metalcore
6003,Cirice,Ghost,metalcore
5812,Sweet Leaf,Black Sabbath,metalcore
6596,I'm Your Boogieman,White Zombie,metalcore
6360,Dragula,Rob Zombie,metalcore
6475,Aerials,System Of A Down,metalcore
6440,The Heretic Anthem,Slipknot,metalcore
6025,Explosia,Gojira,metalcore
5704,Weak And Powerless,A Perfect Circle,metalcore
5983,Demanufacture,Fear Factory,metalcore
5906,Pour Some Sugar On Me,Def Leppard,metalcore
6069,In Plain View,In Flames,metalcore
5795,No More Tears,Black Label Society,metalcore
6101,Always,Killswitch Engage,metalcore
6365,House Of 1000 Corpses,Rob Zombie,metalcore
6178,Show Yourself,Mastodon,metalcore
6040,You Could Be Mine,Guns N' Roses,metalcore
6043,The One You Love to Hate,Halford,metalcore
5967,Piranha,Exodus,metalcore
6544,Shoot 'Em Down,Twisted Sister,metalcore
6006,Mummy Dust,Ghost,metalcore
6482,Bounce,System Of A Down,metalcore
6483,Hypnotize,System Of A Down,metalcore
5770,Revolution Begins,Arch Enemy,metalcore
5799,Fire It Up,Black Label Society,metalcore
6372,Swedish Pagans,Sabaton,metalcore
6138,Redneck,Lamb of God,metalcore
6563,Ain't Talkin' 'Bout Love,Van Halen,metalcore
5758,Bring The Noise,Anthrax,metalcore
5876,Hate Me,Children Of Bodom,metalcore
6045,The Hellion - Live Insurrection,Halford,metalcore
5726,Feed My Frankenstein,Alice Cooper,metalcore
6609,Give Me All Your Love - 2018 Remaster,Whitesnake,metalcore
6246,Iron Fist,Motörhead,metalcore
6107,Mirror Mirror,King Diamond,metalcore
6321,I Don't Believe In Love,Queensryche,metalcore
6278,Blackwater Park,Opeth,metalcore
5933,Heaven Sent,Dokken,metalcore
5900,Rock Of Ages,Def Leppard,metalcore
6059,I Want Out - 2024 Remaster,Helloween,metalcore
6388,Christmas Eve (Sarajevo 12/24),Savatage,metalcore
6454,Absolute Zero,Stone Sour,metalcore
5823,Nightfall - Remastered 2007,Blind Guardian,metalcore
6313,Mouth for War,Pantera,metalcore
6084,Victim Of Changes,Judas Priest,metalcore
6125,Pleasure to Kill,Kreator,metalcore
6397,Lovedrive,Scorpions,metalcore
5708,The Noose,A Perfect Circle,metalcore
5834,Godzilla - Remastered,Blue Oyster Cult,metalcore
5937,Valley of the Damned - 2010 Remastered Edition,DragonForce,metalcore
6551,The Price,Twisted Sister,metalcore
5765,Prologue (Apprehension),Apocalyptica,metalcore
5763,I Don't Care - US Version,Apocalyptica,metalcore
5965,Strike of the Beast,Exodus,metalcore
6353,I Want a Woman,Ratt,metalcore
6610,Is This Love - 2018 Remaster,Whitesnake,metalcore
6046,E5150 / After All (The Dead) - Live from Radio City Music Hall,Heaven & Hell,metalcore
5832,Veteran of the Psychic Wars,Blue Oyster Cult,metalcore
5910,Rainbow in the Dark,Dio,metalcore
6115,Rock And Roll All Nite,Kiss,metalcore
5819,Valhalla,Blind Guardian,metalcore
5711,Princess of the Dawn,Accept,metalcore
6225,Where Eagles Dare,Misfits,metalcore
