,Track name,artists,genre
490,Cloud Cascade,Invent Animate,metalcore
236,No Cure,"Elwood Stray, The Narrator",metalcore
232,Wayfinder,Kingdom Of Giants,metalcore
359,True Colors,Wage War,metalcore
204,Paradigm,The Plot In You,metalcore
158,Tired of It All,LANDMVRKS,metalcore
331,Good Stories - Remastered 2022,Annisokay,metalcore
424,Shattered Glass,Fit For A King,metalcore
228,Sol Absentia,ERRA,metalcore
356,60cm Of Steel,"Alpha Wolf, Holding Absence",metalcore
275,Ameliorate,Like Moths To Flames,metalcore
1882,Hurt,Johnny Cash,Country
226,Blame Shift,ENOX,metalcore
338,Mana God,Make Them Suffer,metalcore
338,Mana God,Make Them Suffer,metalcore
157,Impermanence,"Architects, Winston McCall",metalcore
51,The Hell We Create,Fit For A King,metalcore
260,Even God Has A Hell,Like Moths To Flames,metalcore
430,Backbreaker,Fit For A King,metalcore
7778,Sara,Fleetwood Mac,Pop
290,Eternal Blue,Spiritbox,metalcore
170,Poverty of Self,Currents,metalcore
205,"Burn in Water, Drown in Flame",Like Moths To Flames,metalcore
175,Hypermania,Polaris,metalcore
477,The Box (Feat. Brandon Saller & Ryan Kirby),"Ice Nine Kills, Brandon Saller, Ryan Kirby",metalcore
20,Aftermath,The Ghost Inside,metalcore
280,What You Left Behind,Fit For A King,metalcore
250,We Got the Moves,Electric Callboy,metalcore
477,The Box (Feat. Brandon Saller & Ryan Kirby),"Ice Nine Kills, Brandon Saller, Ryan Kirby",metalcore
71,Roots Below,As I Lay Dying,metalcore
329,SYSTEMATIC,While She Sleeps,metalcore
128,Stockholm Syndrome,ERRA,metalcore
120,DEATH (Ever Colder),Bury Tomorrow,metalcore
286,Living In Tragedy,Currents,metalcore
261,Exhibition,The Devil Wears Prada,metalcore
368,In Another Life (feat. Courtney LaPlante),"Crown The Empire, Courtney LaPlante",metalcore
423,Over And Over,Currents,metalcore
419,The River,Wage War,metalcore
416,Gold Blooded,InVisions,metalcore
250,We Got the Moves,Electric Callboy,metalcore
212,So Alone,Currents,metalcore
309,A Grave Mistake,Ice Nine Kills,metalcore
127,History is Silent,Whitechapel,metalcore
6474,Suite-Pee,System Of A Down,metalcore
14808,Toes,Zac Brown Band,Today
290,Eternal Blue,Spiritbox,metalcore
491,Wasted Space,Kingdom Of Giants,metalcore
359,True Colors,Wage War,metalcore
5800,Stillborn,Black Label Society,metalcore
101,Varsity Hearts,Thornhill,metalcore
3559,Side Effects,The Chainsmokers,EDM
262,Anticure,Whitechapel,metalcore
13552,Hellraiser,Ozzy Osbourne,Rock
3115,Sexy Bitch (feat. Akon),David Guetta,EDM
215,Fluorescent White,Like Moths To Flames,metalcore
405,Ghost Of Me,Make Them Suffer,metalcore
344,Trapped,The Devil Wears Prada,metalcore
203,The Sun Sleeps,Invent Animate,metalcore
250,We Got the Moves,Electric Callboy,metalcore
362,Reaching,The Devil Wears Prada,metalcore
306,Feast Of Fire,Trivium,metalcore
406,Nigh to Silence,ERRA,metalcore
282,The Price of Agony,Fit For A King,metalcore
265,The Price of Grace,Convictions,metalcore
278,Another Life,Motionless In White,metalcore
199,Darkbloom,"We Came As Romans, Brand of Sacrifice",metalcore
365,Say No Word,LANDMVRKS,metalcore
9058,Satisfy You,Puff Daddy featuring R. Kelly,Pop
9,Plagued,We Came As Romans,metalcore
104,Pray for Rain,Polaris,metalcore
381,My Own Grave,As I Lay Dying,metalcore
527,Where We Go When We Die,Thornhill,metalcore
295,Watchtower,The Devil Wears Prada,metalcore
461,Anomaly,Aviana,metalcore
7182,I Wanna Be Rich,Calloway,Pop
488,Racing Home,Saviour,metalcore
