Track Number,Track name,artists,genre
110,So Into You,Atlanta Rhythm Section,alt-rock
111,U&ME,alt-J,alt-rock
112,Rock Steady,"Alton Ellis, The Flames",alt-rock
113,Altered State Of Mind,Milmine,alt-rock
114,Altitude Adjustment,Midland,alt-rock
115,M.S.S,Red,alt-rock
116,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya",alt-rock
117,SAVIOR,Smile Empty Soul,alt-rock
118,Rockstar,ALT BLK ERA,alt-rock
119,Philadelphia,alt-J,alt-rock
120,Ghostlove (1st Movement),Uncle Morty and the Empty Forties,alt-rock
121,Bane,alt-J,alt-rock
122,Ghostlove (2nd Movement),Uncle Morty and the Empty Forties,alt-rock
123,Alternative Trouble,LUCKI,alt-rock
124,Ghostlove (3rd Movement),Uncle Morty and the Empty Forties,alt-rock
125,"Bloodflood, Pt. II",alt-J,alt-rock
126,Ghostlogue,Uncle Morty and the Empty Forties,alt-rock
127,Chicago,alt-J,alt-rock
128,Ghosterture,Uncle Morty and the Empty Forties,alt-rock
129,Losing My Mind,alt-J,alt-rock
130,ROCK THAT SHIT! - Slowed Down,"Anarchist Sanctuary, asteria",alt-rock
131,Hunger of the Pine,alt-J,alt-rock
132,Rock and Roll - Alternate Mix,Led Zeppelin,alt-rock
133,Pusher,alt-J,alt-rock
134,Georgia Rhythm,Atlanta Rhythm Section,alt-rock
135,s.A.D,The Exies,alt-rock
136,ROCK THAT SHIT! - Sped Up,"Anarchist Sanctuary, asteria",alt-rock
137,Misfits : SOLAR,ALT BLK ERA,alt-rock
138,Alternative Rock,"HOYO-MiX, 王可鑫",alt-rock
139,Awake 24,Ra,alt-rock
140,Rock Steady,Alton Ellis,alt-rock
141,Walk a Mile,alt-J,alt-rock
142,Ve Kamleya,"Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya",alt-rock
143,"Keep The Change, You Filthy Animal",All Time Low,alt-rock
144,Rocker,Alter Ego,alt-rock
145,Alternate Reality 3035,tiedye ky,alt-rock
146,Rock Around With Ollie Vee - Alternate Version,Buddy Holly,alt-rock
147,Face in the Wind,311,alt-rock
148,Rock Around the Clock (Alternate Take),Bill Haley & His Comets,alt-rock
149,A.D.D,alt.,alt-rock
150,I'm Still in Love With You,Alton Ellis,alt-rock
151,Alternative Outro,LUCKI,alternative
152,Alternative Ulster,Stiff Little Fingers,alternative
153,the alternative,Lyn Lapid,alternative
154,ALTERNATIVE,RØRY,alternative
155,Alternative Trouble,LUCKI,alternative
156,ALTERNATIVE,RØRY,alternative
157,Alternative Outro,LUCKI,alternative
158,Alternative Universe,Apel8,alternative
159,Alternative Baby,Reel Big Fish,alternative
160,Alternative Radio,Spose,alternative
161,Alternative Girlfriend,Barenaked Ladies,alternative
162,Alternative,The Exploited,alternative
163,alternate universe,Zeph,alternative
164,Alternative Thoughts,"Lofi Bee, Ogi Feel the Beat, Chill Select",alternative
165,the alternative,Lyn Lapid,alternative
166,Alternative Healer,"Meditation Music Zone, Mindfulness Meditation Music Spa Maestro, Meditação e Espiritualidade Musica Academia",alternative
